label,text
1,"Covid-19: Oxfam strengthens humanitarian programs to respond to the global crisis. Support us, make a donation!"
1,"Faced with the Covid-19 pandemic, our field teams redouble efforts. Support our action by making a donation!"
1,Sudanese refugees We need to protect them from urgent. Help our teams on the ground by making a donation.
1,"Emergency Coronavirus: Populations struck by extreme poverty, deprived of drinking water and care are the most threatened by the pandemic. Let's help them!"
1,Children are hidden victims of the pandemic. We need to strengthen intervention in the most vulnerable countries. Conflicts continue in Syria and Yemen and isolation and handwashing will not be easy in such environments!
1,EMERGENCY COVID-19: The virus spreads in the most vulnerable countries. Let's give children the means to protect yourself!
1,COVID-19 can touch anyone. In some countries a health crisis is added to a humanitarian crisis.
1,"Transport of patients, distribution of drugs: our rescuer volunteers do not count their energy or their hours to help with caregivers and save a maximum of lives."
1,"Homeless people are the first collateral victims of the pandemic. We maintain our maraudes to bring me meals, hygiene kits and care."
0,Ready to Fit Smoothly into any Outfit? These Shaper Shorts: ‍♀️ Smooths Tummy Without Squeezing ‍♀️ Eliminates Muffin Top ‍♀️ Unnoticeable Under Clothing Shop now to get yours while it's still 50% OFF with FREE shipping! https://shaperfeel.com/pro…/shaperfeel-premium-shaper-shorts
0,"Warning: This game will keep you up all night!! lp.empire.goodgamestudios.com Build, Conquer, Trade! Brand New Strategy MMO in an epic Medieval World."
0,No coding required. square.com/online-store Create a professional website that looks good on any device.
0,Bored of binge watching ? Why not learn a new skill? Get FREE access to our Online Course which gives you a thorough foundation in Graphic Design which you can use to advance your career or purely for personal reasons.
0,"For a limited time, enjoy 6 issues of The Week and a USB desk fan absolutely free."
0,"Stunning Lighting to Transform Your Home iconiclights.co.uk Inject your home with the style it's been longing for with our vast range of eye-catching,"
0,Try Xero free for 30 days xero.com You don't have to be at work to look after your business finances. Sort your accounting ta
0,"If the crown fits, take it! All you have to do is outwit your husband, beat the church, baffle the military and get the court on your side. The Great, premieres today, exclusively on STARZPLAY."
0,"This is a new and challenging 1000 piece puzzle. ornn.shop This is a 1000PCS puzzle, drawing all kinds of Broadway and taking you to recall the beaut"
0,"Try Xero free for 30 days xero.com Invoice the instant you've finished the job, from anywhere. Automatic reminders help you g"
0,Bedtime For You | Personalised for your grandchild wonderbly.com Worried about missing your grandchild’s birthday? We hear you. All our personalised childr
0,OTE Pack (worth £18.30) - Only £10 + Free Delivery OTESPORTS.CO.UK/£10-TASTER-PACK OTE Sports - Sports performance nutrition recommended by the Brownlee brothers and British
